Posição ,Município ,População 
1,Natal,803 739 
2,Mossoró,259 815 
3,Parnamirim,202 456 
4,São Gonçalo do Amarante,87 700 
5,Macaíba,69 538 
6,Ceará-Mirim,68 141 
7,Caicó,62 709 
8,Assu,53 245 
9,Currais Novos,42 668 
10,São José de Mipibu,39 771 
11,Santa Cruz,35 759 
12,Nova Cruz,35 541 
13,Apodi,34 777 
14,João Câmara,32 203 
15,Touros,31 076 
16,Canguaretama,30 900 
17,Macau,28 974 
18,Pau dos Ferros,27 733 
19,Areia Branca,25 263 
20,Extremoz,24 550 
21,Baraúna,24 187 
22,Nísia Floresta,23 818 
23,Goianinha,22 467 
24,Santo Antônio,22 214 
25,São Miguel,22 159 
26,Monte Alegre,20 670 
27,Parelhas,20 347 
28,Caraúbas,19 582 
29,Jucurutu,17 692 
30,São Paulo do Potengi,15 866 
31,Tangará,14 175 
32,Pedro Velho,14 119 
33,Lagoa Nova,13 990 
34,Poço Branco,13 947 
35,Ipanguaçu,13 855 
36,Santana do Matos,13 798 
37,Jardim de Piranhas,13 511 
38,Alexandria,13 475 
39,Pendências,13 436 
40,Upanema,12 985 
41,Arez,12 931 
42,Guamaré,12 431 
43,Governador Dix-Sept Rosado,12 373 
44,São José do Campestre,12 359 
45,Alto do Rodrigues,12 306 
46,Ielmo Marinho,12 188 
47,Jardim do Seridó,12 115 
48,Patu,11 964 
49,Taipu,11 836 
50,Brejinho,11 577 
51,Angicos,11 553 
52,Montanhas,11 418 
53,Tibau do Sul,11 402 
54,Passa-e-Fica,11 111 
55,Acari,11 035 
56,Cerro Corá,10 916 
57,Afonso Bezerra,10 879 
58,São Tomé,10 868 
59,Vera Cruz,10 725 
60,Umarizal,10 669 
61,Espírito Santo,10 480 
62,Maxaranguape,10 442 
63,Lajes,10 385 
64,Serra do Mel,10 281 
65,Campo Redondo,10 266 
66,Rio do Fogo,10 060 
67,Tenente Ananias,9 911 
68,Carnaubais,9 775 
69,Luís Gomes,9 612 
70,Bom Jesus,9 432 
71,Grossos,9 393 
72,Campo Grande,9 289 
73,Boa Saúde,9 009 
74,Florânia,8 959 
75,Serra Caiada,8 774 
76,São Miguel do Gostoso,8 659 
77,Baía Formosa,8 569 
78,Pureza,8 432 
79,Marcelino Vieira,8 265 
80,Martins,8 228 
81,São Rafael,8 106 
82,Cruzeta,7 968 
83,Jaçanã,7 925 
84,Serra Negra do Norte,7 770 
85,Lagoa Salgada,7 565 
86,Carnaúba dos Dantas,7 429 
87,Portalegre,7 297 
88,Pedro Avelino,7 168 
89,Riachuelo,7 067 
90,Lagoa de Pedras,6 992 
91,Itajá,6 952 
92,Antônio Martins,6 907 
93,Jandaíra,6 796 
94,Serrinha,6 581 
95,Doutor Severiano,6 495 
96,Lagoa d'Anta,6 228 
97,São Pedro,6 223 
98,São Vicente,6 030 
99,Caiçara do Norte,6 016 
100,São João do Sabugi,5 914 
101,José da Penha,5 868 
102,Equador,5 822 
103,Severiano Melo,5 752 
104,Serra de São Bento,5 746 
105,Felipe Guerra,5 734 
106,Senador Elói de Souza,5 645 
107,Itaú,5 568 
108,Japi,5 522 
109,Tenente Laurentino Cruz,5 406 
110,Coronel Ezequiel,5 405 
111,Janduís,5 350 
112,Encanto,5 228 
113,Várzea,5 227 
114,Porto do Mangue,5 217 
115,Bento Fernandes,5 110 
116,Sítio Novo,5 020 
117,Almino Afonso,4 880 
118,Parazinho,4 845 
119,Coronel João Pessoa,4 774 
120,Santa Maria,4 762 
121,Ouro Branco,4 699 
122,Rafael Fernandes,4 692 
123,Lajes Pintadas,4 614 
124,Serrinha dos Pintos,4 538 
125,Rodolfo Fernandes,4 417 
126,Olho-d'Água do Borges,4 301 
127,Frutuoso Gomes,4 233 
128,São José do Seridó,4 231 
129,Messias Targino,4 188 
130,Riacho de Santana,4 157 
131,Barcelona,3 957 
132,Paraná,3 952 
133,Senador Georgino Avelino,3 924 
134,São Bento do Trairi,3 909 
135,São Francisco do Oeste,3 874 
136,Paraú,3 862 
137,Venha-Ver,3 821 
138,Tibau,3 687 
139,Lucrécia,3 633 
140,Ruy Barbosa,3 595 
141,Jundiá,3 585 
142,Major Sales,3 536 
143,Pedra Grande,3 521 
144,Pilões,3 453 
145,São Fernando,3 401 
146,Triunfo Potiguar,3 366 
147,Caiçara do Rio do Vento,3 304 
148,Riacho da Cruz,3 165 
149,Rafael Godeiro,3 070 
150,Água Nova,2 984 
151,São Bento do Norte,2 974 
152,Passagem,2 899 
153,Francisco Dantas,2 874 
154,Vila Flor,2 872 
155,Fernando Pedroza,2 850 
156,Lagoa de Velhos,2 674 
157,Jardim de Angicos,2 607 
158,João Dias,2 601 
159,Pedra Preta,2 583 
160,Santana do Seridó,2 526 
161,Bodó,2 425 
162,Taboleiro Grande,2 317 
163,Timbaúba dos Batistas,2 295 
164,Monte das Gameleiras,2 266 
165,Galinhos,2 150 
166,Ipueira,2 074 
167,Viçosa,1 618 
